"pageName","facebookId","facebookUrl","feedbackId","postId","shares","comments","isVideo","likes","text","time","url","user/id","user/name","user/profilePic","user/profileUrl","viewsCount","inputUrl","pageAdLibrary/id","pageAdLibrary/is_business_page_active"
"dilsefoodieofficial","100044360562891","https://www.facebook.com/dilsefoodieofficial/","ZmVlZGJhY2s6MTQ2MTE5MTk4MjAzNjE0MA==","1461191982036140","5","2","true","297","Live Making Lauphing At Sector 56, Gurgaon","2026-01-19T07:00:38.000Z","https://www.facebook.com/reel/1595935111416270/","100044360562891","Dil Se Foodie","https://scontent-lax3-1.xx.fbcdn.net/v/t39.30808-1/462952390_2738801952960547_5533822125838775837_n.jpg?stp=cp0_dst-jpg_s50x50_tt6&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=EYtuEvctQG8Q7kNvwE8MPOo&_nc_oc=AdmhoXT2a0LpmH2adBkJiCyub0e_2P_yHcMP0rQJpDDGhZO8OtM5jsbUGv86nXNqDyc&_nc_zt=24&_nc_ht=scontent-lax3-1.xx&_nc_gid=X3iJLnlqk0_1wyarIAsUtA&oh=00_AfqaDtg0j1r8XcdwjTchSJPz2hZfEu_CKbF8bgFBcSXMBg&oe=6973CF4F","https://www.facebook.com/100044360562891","26303","https://www.facebook.com/dilsefoodieofficial/","228123120695122","false"
"dilsefoodieofficial","100044360562891","https://www.facebook.com/dilsefoodieofficial/","ZmVlZGJhY2s6MTQ2MTk3Mzc2NTI5MTI5NQ==","1461973765291295","4","16",,"283","Breakfast Karlo Fraands","2026-01-19T06:23:18.000Z","https://www.facebook.com/dilsefoodieofficial/posts/pfbid02pYpX8KZ1VXZzcu67jcHL8UnvdVM9kQaXoSx6WEoyAckMGt2L8kdK6VzjD6EVQkzGl","100044360562891","Dil Se Foodie","https://scontent-lax3-1.xx.fbcdn.net/v/t39.30808-1/462952390_2738801952960547_5533822125838775837_n.jpg?stp=cp0_dst-jpg_s50x50_tt6&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=EYtuEvctQG8Q7kNvwE8MPOo&_nc_oc=AdmhoXT2a0LpmH2adBkJiCyub0e_2P_yHcMP0rQJpDDGhZO8OtM5jsbUGv86nXNqDyc&_nc_zt=24&_nc_ht=scontent-lax3-1.xx&_nc_gid=X3iJLnlqk0_1wyarIAsUtA&oh=00_AfqaDtg0j1r8XcdwjTchSJPz2hZfEu_CKbF8bgFBcSXMBg&oe=6973CF4F","https://www.facebook.com/100044360562891",,"https://www.facebook.com/dilsefoodieofficial/","228123120695122","false"
"foodierobin","100063850784057","https://www.facebook.com/foodierobin/","ZmVlZGJhY2s6MTM2Mzc4MzE5NTc2MDAyNw==","1363783195760027","0",,"true","6","बांग्लादेशी लड़कियाँ भारत के बारे में ये क्या कह रही हैं","2025-12-30T07:32:06.000Z","https://www.facebook.com/reel/890368486652462/","100063850784057","Foodie Robin","https://scontent.fosu2-2.fna.fbcdn.net/v/t39.30808-1/307124494_486371073501248_8655758763586903947_n.jpg?stp=c73.97.937.937a_cp0_dst-jpg_s50x50_tt6&_nc_cat=111&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=V--fmn19FeQQ7kNvwH7v4WF&_nc_oc=AdnKE6yZlAVRnBcCdu6nagpFgRTxymcXe1Bofc6YVsh5A5Fwx9N_0hgpfzqPNNrx3HBi1rvEQkMP87wiKeeXhtWA&_nc_zt=24&_nc_ht=scontent.fosu2-2.fna&_nc_gid=V6mTYbBp6ZWQBFfERAapuQ&oh=00_AfoCscT_fQISrVJaHY3CVBisCGRpPJwos2L5iavIMdCKpw&oe=6973D3DD","https://www.facebook.com/100063850784057","4090","https://www.facebook.com/foodierobin/","100674248237568","false"
"foodierobin","100063850784057","https://www.facebook.com/foodierobin/","ZmVlZGJhY2s6MTM2Mzc4MTcyNTc2MDE3NA==","1363781725760174","4","1","true","43","World Famous Gaya Ka Tilkut Making","2025-12-29T11:29:44.000Z","https://www.facebook.com/reel/2088495971944959/","100063850784057","Foodie Robin","https://scontent.fosu2-2.fna.fbcdn.net/v/t39.30808-1/307124494_486371073501248_8655758763586903947_n.jpg?stp=c73.97.937.937a_cp0_dst-jpg_s50x50_tt6&_nc_cat=111&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=V--fmn19FeQQ7kNvwH7v4WF&_nc_oc=AdnKE6yZlAVRnBcCdu6nagpFgRTxymcXe1Bofc6YVsh5A5Fwx9N_0hgpfzqPNNrx3HBi1rvEQkMP87wiKeeXhtWA&_nc_zt=24&_nc_ht=scontent.fosu2-2.fna&_nc_gid=V6mTYbBp6ZWQBFfERAapuQ&oh=00_AfoCscT_fQISrVJaHY3CVBisCGRpPJwos2L5iavIMdCKpw&oe=6973D3DD","https://www.facebook.com/100063850784057","608846","https://www.facebook.com/foodierobin/","100674248237568","false"
"foodierobin","100063850784057","https://www.facebook.com/foodierobin/","ZmVlZGJhY2s6MTM2Mzc4MTA1MjQyNjkwOA==","1363781052426908","3","2","true","44","Biggest Fish Tail In India","2025-12-29T07:30:43.000Z","https://www.facebook.com/reel/2126376734857217/","100063850784057","Foodie Robin","https://scontent.fosu2-2.fna.fbcdn.net/v/t39.30808-1/307124494_486371073501248_8655758763586903947_n.jpg?stp=c73.97.937.937a_cp0_dst-jpg_s50x50_tt6&_nc_cat=111&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=V--fmn19FeQQ7kNvwH7v4WF&_nc_oc=AdnKE6yZlAVRnBcCdu6nagpFgRTxymcXe1Bofc6YVsh5A5Fwx9N_0hgpfzqPNNrx3HBi1rvEQkMP87wiKeeXhtWA&_nc_zt=24&_nc_ht=scontent.fosu2-2.fna&_nc_gid=V6mTYbBp6ZWQBFfERAapuQ&oh=00_AfoCscT_fQISrVJaHY3CVBisCGRpPJwos2L5iavIMdCKpw&oe=6973D3DD","https://www.facebook.com/100063850784057","25019","https://www.facebook.com/foodierobin/","100674248237568","false"
"nishamadhulika","100044376071574","https://www.facebook.com/nishamadhulika/","ZmVlZGJhY2s6MTQzNzYxMjcyNzcyNzkxNg==","1437612727727916","172","134","true","3620","तिल-गुड़ की एकदम सॉफ्ट बर्फी, दादी नानी वाली सर्दियों की खास और परंपरागत मिठाई.  तिल और गुड़ दोनों ही शरीर को गर्मी और एनर्जी देते हैं.  कम इन्ग्रेडिएन्ट्स से बनी इस बर्फी को एक बार बना कर रख लीजिये फिर पूरे महीने भर खाते रहिये.  हर उम्र के लोगों की पसंद 
Soft Sesame Sweet, Perfect for Winter Season,  Healthy and Flavorful, So Soft, So Delicious – Best Til Burfi Ever

#tilgud #winter #tilpatti","2026-01-17T09:45:44.000Z","https://www.facebook.com/nishamadhulika/videos/1687639969308732/","100044376071574","NishaMadhulika","https://scontent-bos5-1.xx.fbcdn.net/v/t39.30808-1/454934774_26392836943693088_309673645185975858_n.jpg?stp=cp0_dst-jpg_s50x50_tt6&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=lnPUOk8-MNMQ7kNvwHoEBHZ&_nc_oc=AdnRqkRKYZ3kcuhkfjrwLakJc2UlZkPfJFWkbywv9cYAEUGllLuhpd_FkeB1vYBJrXA&_nc_zt=24&_nc_ht=scontent-bos5-1.xx&_nc_gid=zx6jT4wAO1nkymBCq1Ufng&oh=00_AfoyYiicNp5GN8gXvboNF47YgoSXb9FOYirWbOMXIHqWqA&oe=6973E09B","https://www.facebook.com/100044376071574","903206","https://www.facebook.com/nishamadhulika/","107303196006488","false"
"nishamadhulika","100044376071574","https://www.facebook.com/nishamadhulika/","ZmVlZGJhY2s6MTQzNzYxMjI5MTA2MTI5Mw==","1437612291061293","177","139","true","5031","आलू पापडी मठरी- चाट और नमकीन के लिये । Aloo Papdi recipe । Aloo Papdi Mathri | Tea time snacks
आलू की खास पापडी नमकीन,  papdi recipe, aloo ki papdi, Aloo papdi recipe,  Papadi for Dahi papadi Chaat,

#papdiRecipe #AlooPapdi #namkeenRecipe #MathriRecipe

Ingredients:
Refined Flour - 1 cup (125 gms)
Boiled Potatoes - ½ cup (peeled and grated)
Oil - 2 tbsp 
Carom Seeds - ½ tsp 
Salt - ½ tsp (or to taste)
Oil - to fry

How to make Aloo Papdi 

1- Take 1 cup of refined flour in a bowl and add ½ cup of potatoes after boiling, peeling and grating. 
2- To this add ½ teaspoon of salt. 
3- Crush ½ teaspoon of carom seeds and add them.
4- Add 2 tablespoons of oil. 
5- Mix all the ingredients together and knead the dough to be stiff.
6- Add about 1 teaspoon of water to the dough and knead a stiffer dough. 
7- Now cover and keep the dough aside and allow it to set for 15 to 20 minutes.
8- After 15 to 20 minutes, mash the dough slightly and divide it into lumps. 
9- Coat a lump with dry flour and roll it into a round ball. 
10- Press these balls to flatten them. The balls once flattened should be about 2.5 to 3 inches in diameter.
11- Expand the flattened ball from the edges and prick it on both sides using a fork. 
12- Now, preheat the oil for frying. 
13- To make aloo Papdi, you need medium-hot oil on medium flame. 
14- Fry the prepared Papdi and in the meantime let us prepare another round of Papdis. 
15- Keep flipping them while they fry to ensure they are golden brown on both sides. 
16- Take the Papdi out of the oil. 
17- The aloo Papdis are now ready to be served. 

Servings: 

1- It takes about 6 to 7 minutes to fry a single round of Papdi.
2- About 20 Papdis can be made from this dough. 
3- To store them for a longer period, keep them in an airtight container.","2026-01-17T05:29:19.000Z","https://www.facebook.com/nishamadhulika/videos/2341911136323997/","100044376071574","NishaMadhulika","https://scontent-bos5-1.xx.fbcdn.net/v/t39.30808-1/454934774_26392836943693088_309673645185975858_n.jpg?stp=cp0_dst-jpg_s50x50_tt6&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=lnPUOk8-MNMQ7kNvwHoEBHZ&_nc_oc=AdnRqkRKYZ3kcuhkfjrwLakJc2UlZkPfJFWkbywv9cYAEUGllLuhpd_FkeB1vYBJrXA&_nc_zt=24&_nc_ht=scontent-bos5-1.xx&_nc_gid=zx6jT4wAO1nkymBCq1Ufng&oh=00_AfoyYiicNp5GN8gXvboNF47YgoSXb9FOYirWbOMXIHqWqA&oe=6973E09B","https://www.facebook.com/100044376071574","7944599","https://www.facebook.com/nishamadhulika/","107303196006488","false"
"nishamadhulika","100044376071574","https://www.facebook.com/nishamadhulika/","ZmVlZGJhY2s6MTQzNjg5MDgxMTEzMzQ0MQ==","1436890811133441","87","81","true","2629","भुने चने वाली यानी सत्तू वाली मसाला पूरी – कुरकुरी खस्ता और कचौरी जैसे स्वाद वाली,  जो 2 दिन बाद भी उतनी ही टेस्टी और फ्रेश लगे. चाहे सब्जी-रायता अचार के साथ परोसें या चाय के साथभोज-त्योहार-नाश्ते-टिफिन-यात्रा के लिए एकदम परफेक्ट-Roasted Chana Masala Puri, Spiced Crispy and flavorful Indian delight, Tastes like Kachori, stays fresh even after 2 days

#poori  #nashta #breakfast","2026-01-16T06:50:34.000Z","https://www.facebook.com/nishamadhulika/videos/2305194566678546/","100044376071574","NishaMadhulika","https://scontent-bos5-1.xx.fbcdn.net/v/t39.30808-1/454934774_26392836943693088_309673645185975858_n.jpg?stp=cp0_dst-jpg_s50x50_tt6&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=lnPUOk8-MNMQ7kNvwHoEBHZ&_nc_oc=AdnRqkRKYZ3kcuhkfjrwLakJc2UlZkPfJFWkbywv9cYAEUGllLuhpd_FkeB1vYBJrXA&_nc_zt=24&_nc_ht=scontent-bos5-1.xx&_nc_gid=zx6jT4wAO1nkymBCq1Ufng&oh=00_AfoyYiicNp5GN8gXvboNF47YgoSXb9FOYirWbOMXIHqWqA&oe=6973E09B","https://www.facebook.com/100044376071574","67558","https://www.facebook.com/nishamadhulika/","107303196006488","false"
"delish","100059438474191","https://www.facebook.com/delish/","ZmVlZGJhY2s6MTI3NDc0Mjg0NDUxNjk4Ng==","1274742844516986","3","2",,"81","HUGE news for peanut butter lovers. Click the link below to learn more.","2026-01-19T00:00:24.000Z","https://www.facebook.com/delish/posts/pfbid02BMGLSR1Ud2zbjaT6xq4rLNX71mLMhMhS7tWsg9ekeq4PnmscDgYnjX57AYwMbrfwl","100059438474191","Delish","https://scontent-mia3-1.xx.fbcdn.net/v/t39.30808-1/581865325_1223988786259059_7001347943341286496_n.jpg?stp=cp0_dst-jpg_s50x50_tt6&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=qbjAWd_6I_0Q7kNvwFbuFdh&_nc_oc=AdmdP9ExKKJtHKz_OdRLfsudmA-O0afi-6o8kqZ0cV8hkKGYQ89iGTpTRW7YRuCkyZZixU08tq-CLLrjcoSad2uB&_nc_zt=24&_nc_ht=scontent-mia3-1.xx&_nc_gid=IsOvC9vJ8TjLTKP65RRFMw&oh=00_Afr1ITSYeySCx1LFh31IX7mRETo1_vjrEQb4PITsGaJGVg&oe=6973C30D","https://www.facebook.com/100059438474191",,"https://www.facebook.com/delish/","41937927436","false"
"delish","100059438474191","https://www.facebook.com/delish/","ZmVlZGJhY2s6MTI3NDczMDg0NDUxODE4Ng==","1274730844518186","1","1",,"4","Give your protein bars a break. Click the link below to learn more.","2026-01-18T23:30:10.000Z","https://www.facebook.com/delish/posts/pfbid0BmWatdTc9vFsitD6GAzQJ9EiWPHDYGCHX1JgA2PL8p63WyPW8soXTJ19iUgiweT9l","100059438474191","Delish","https://scontent-mia3-1.xx.fbcdn.net/v/t39.30808-1/581865325_1223988786259059_7001347943341286496_n.jpg?stp=cp0_dst-jpg_s50x50_tt6&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=qbjAWd_6I_0Q7kNvwFbuFdh&_nc_oc=AdmdP9ExKKJtHKz_OdRLfsudmA-O0afi-6o8kqZ0cV8hkKGYQ89iGTpTRW7YRuCkyZZixU08tq-CLLrjcoSad2uB&_nc_zt=24&_nc_ht=scontent-mia3-1.xx&_nc_gid=IsOvC9vJ8TjLTKP65RRFMw&oh=00_Afr1ITSYeySCx1LFh31IX7mRETo1_vjrEQb4PITsGaJGVg&oe=6973C30D","https://www.facebook.com/100059438474191",,"https://www.facebook.com/delish/","41937927436","false"
